id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
386;114;6;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Performance;;;Duo Lolly Pop auf der B[ue]hne Cowboyhut;;
387;120;6;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Performance;;;The Funky Monkeys auf der B[ue]hne Cowboyhut;;
388;113;6;;;30.05.2026;30.05.2026 17:00;30.05.2026 17:30;Performance;;;Anna Ki auf der B[ue]hne Cowboyhut;;
389;116;6;;;30.05.2026;30.05.2026 18:00;30.05.2026 18:30;Performance;;;Marcos Luis Masetti auf der B[ue]hne Cowboyhut;;
390;124;6;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Musik;;;sound gurus auf der B[ue]hne Cowboyhut;;
391;123;6;;;30.05.2026;30.05.2026 20:00;30.05.2026 20:30;Performance;;;Duo flexoncirc auf der B[ue]hne Cowboyhut;;
392;143;7;;;30.05.2026;30.05.2026 13:30;30.05.2026 14:00;Performance;;;KTV auf der B[ue]hne Strohhut;;
393;128;7;;;30.05.2026;30.05.2026 14:30;30.05.2026 15:00;Performance;;;Mika und Elena auf der B[ue]hne Strohhut;;
394;124;7;;;30.05.2026;30.05.2026 15:30;30.05.2026 16:00;Musik;;;sound gurus auf der B[ue]hne Strohhut;;
395;127;7;;;30.05.2026;30.05.2026 16:30;30.05.2026 17:00;Performance;;;This Maag auf der B[ue]hne Strohhut;;
396;120;7;;;30.05.2026;30.05.2026 17:30;30.05.2026 18:00;Performance;;;The Funky Monkeys auf der B[ue]hne Strohhut;;
397;119;7;;;30.05.2026;30.05.2026 18:30;30.05.2026 19:00;Performance;;;Zinzi & Evertjan auf der B[ue]hne Strohhut;;
398;112;7;;;30.05.2026;30.05.2026 19:30;30.05.2026 20:00;Performance;;;Tridiculous auf der B[ue]hne Strohhut;;
399;128;7;;;30.05.2026;30.05.2026 20:30;30.05.2026 21:00;Performance;;;Mika und Elena auf der B[ue]hne Strohhut;;
400;144;8;;;30.05.2026;30.05.2026 14:00;30.05.2026 14:30;Performance;;;Chem. Lachfalten auf der B[ue]hne Zauberhut;;
401;145;8;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Performance;;;Salto Salcin auf der B[ue]hne Zauberhut;;
402;146;8;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Performance;;;Clown Fridolin auf der B[ue]hne Zauberhut;;
403;114;8;;;30.05.2026;30.05.2026 17:00;30.05.2026 17:30;Performance;;;Duo LollyPop auf der B[ue]hne Zauberhut;;
404;128;8;;;30.05.2026;30.05.2026 18:00;30.05.2026 18:30;Performance;;;Mika und Elena auf der B[ue]hne Zauberhut;;
405;146;8;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Performance;;;Clown Fridolin auf der B[ue]hne Zauberhut;;
406;129;9;;;30.05.2026;30.05.2026 15:30;30.05.2026 16:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
407;129;9;;;30.05.2026;30.05.2026 17:30;30.05.2026 18:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
408;129;9;;;30.05.2026;30.05.2026 20:30;30.05.2026 21:00;Performance;;;Noah Chorny auf der Inneren Klosterstra[sz]e;;
409;130;9;;;30.05.2026;30.05.2026 14:00;30.05.2026 14:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
410;130;9;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
411;130;9;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
